County,Date,Temperature,Precipitation,Wind,Gust Wind
Merced,2012-07,83.3,0.0,6.69,0.35
Merced,2012-08,85.92,0.0,6.36,0.17
Merced,2012-09,80.89,0.0,4.5,0.0
Merced,2012-10,68.35,0.0,4.18,0.11
Merced,2012-11,57.02,0.0,3.12,0.15
Merced,2012-12,50.19,0.0,4.62,0.31
Merced,2013-01,46.19,0.0,2.77,0.26
Merced,2013-02,50.3,0.0,2.97,0.24
Merced,2013-03,61.79,0.0,4.93,0.49
Merced,2013-04,67.43,0.0,6.92,1.75
Merced,2013-05,73.01,0.0,8.81,2.07
Merced,2013-06,81.11,0.0,8.73,1.66
Merced,2013-07,86.94,0.0,6.76,0.24
Merced,2013-08,82.81,0.0,7.27,0.61
Merced,2013-09,77.34,0.0,6.63,0.82
Merced,2013-10,65.72,0.0,3.45,0.11
Merced,2013-11,57.39,0.0,2.49,0.0
Merced,2013-12,46.43,0.0,2.29,0.0
Merced,2014-01,52.0,0.0,2.44,0.0
Merced,2014-02,55.88,0.0,4.91,0.44
Merced,2014-03,61.76,0.01,5.88,0.87
Merced,2014-04,66.67,0.03,6.96,0.85
Merced,2014-05,74.42,0.0,8.94,1.66
Merced,2014-06,81.41,0.0,8.17,0.81
Merced,2014-07,86.61,0.0,7.37,0.12
Merced,2014-08,84.18,0.0,6.58,0.2
Merced,2014-09,80.25,0.01,6.27,0.16
Merced,2014-10,71.35,0.0,4.42,0.33
Merced,2014-11,56.61,0.03,3.06,0.0
Merced,2014-12,51.04,0.07,4.04,0.09
Merced,2015-01,47.56,0.01,2.36,0.0
Merced,2015-02,55.62,0.04,3.91,0.07
Merced,2015-03,63.72,0.0,5.45,0.48
Merced,2015-04,64.32,0.04,6.98,1.08
Merced,2015-05,68.4,0.02,7.63,0.58
Merced,2015-06,82.47,0.0,7.55,0.5
Merced,2015-07,82.9,0.01,8.13,0.61
Merced,2015-08,82.16,0.0,7.61,0.36
Merced,2015-09,78.21,0.0,5.81,0.27
Merced,2015-10,70.58,0.02,4.85,0.09
Merced,2015-11,50.98,0.06,3.66,0.17
Merced,2015-12,45.16,0.1,4.11,0.04
Merced,2016-01,49.29,0.12,4.53,0.2
Merced,2016-02,54.41,0.04,3.33,0.11
Merced,2016-03,58.34,0.09,5.74,0.6
Merced,2016-04,64.51,0.04,7.22,1.56
Merced,2016-05,71.12,0.01,7.76,1.07
Merced,2016-06,81.07,0.0,8.66,0.53
Merced,2016-07,84.1,0.0,7.81,0.25
Merced,2016-08,82.34,0.0,6.88,0.03
Merced,2016-09,76.05,0.0,5.59,0.24
Merced,2016-10,65.88,0.02,6.08,0.78
Merced,2016-11,56.39,0.05,4.21,0.46
Merced,2016-12,46.38,0.08,3.93,0.12
Merced,2017-01,47.89,0.18,5.51,0.32
Merced,2017-02,53.76,0.09,7.01,0.43
Merced,2017-03,58.44,0.03,5.4,1.17
Merced,2017-04,61.82,0.11,8.32,2.15
Merced,2017-05,70.99,0.0,7.97,1.07
Merced,2017-06,80.76,0.0,8.38,0.72
Merced,2017-07,86.62,0.0,7.37,0.21
Merced,2017-08,84.83,0.0,6.97,0.1
Merced,2017-09,76.74,0.01,6.47,0.33
Merced,2017-10,65.21,0.0,4.11,0.4
Merced,2017-11,57.36,0.01,4.12,0.2
Merced,2017-12,46.8,0.0,2.62,0.2
Merced,2018-01,51.55,0.04,4.07,0.26
Merced,2018-02,52.45,0.01,4.29,0.46
